Department,Department Abbreviation,Body/Agency,Agency Abbreviation,Name of service,April 2011 to March 2012: volume,April 2011 to March 2012: digital volume,April 2011 to March 2012: cost per transaction (£),January 2012 to December 2012: volume,January 2012 to December 2012: digital volume,January 2012 to December 2012: cost per transaction (£),April 2012 to March 2013: volume,April 2012 to March 2013: digital volume,April 2012 to March 2013: cost per transaction (£),July 2012 to June 2013: volume,July 2012 to June 2013: digital volume,July 2012 to June 2013: cost per transaction (£),October 2012 to September 2013: volume,October 2012 to September 2013: digital volume,October 2012 to September 2013: cost per transaction (£),January 2013 to December 2013: volume,January 2013 to December 2013: digital volume,January 2013 to December 2013: cost per transaction (£),April 2013 to March 2014: volume,April 2013 to March 2014: digital volume,April 2013 to March 2014: cost per transaction (£),July 2013 to June 2014: volume,July 2013 to June 2014: digital volume,July 2013 to June 2014: cost per transaction (£),October 2013 to September 2014: volume,October 2013 to September 2014: digital volume,October 2013 to September 2014: cost per transaction (£),January 2014 to December 2015: volume,January 2014 to December 2015: digital volume,January 2014 to December 2015: cost per transaction (£),April 2014 to March 2015: volume,April 2014 to March 2015: digital volume,April 2014 to March 2015: cost per transaction (£),July 2014 to June 2015: volume,July 2014 to June 2015: digital volume,July 2014 to June 2015: cost per transaction (£),October 2014 to September 2015: volume,October 2014 to September 2015: digital volume,October 2014 to September 2015: cost per transaction (£),January 2015 to December 2015: volume,January 2015 to December 2015: digital volume,January 2015 to December 2015: cost per transaction (£),April 2015 to March 2016: volume,April 2015 to March 2016: digital volume,April 2015 to March 2016: cost per transaction (£),July 2015 to June 2016: volume,July 2015 to June 2016: digital volume,July 2015 to June 2016: cost per transaction (£),October 2015 to September 2016: volume,October 2015 to September 2016: digital volume,October 2015 to September 2016: cost per transaction (£),January 2016 to December 2016: volume,January 2016 to December 2016: digital volume,January 2016 to December 2016: cost per transaction (£),April 2016 to March 2017: volume,April 2016 to March 2017: digital volume,April 2016 to March 2017: cost per transaction (£),July 2016 to June 2017: volume,July 2016 to June 2017: digital volume,July 2016 to June 2017: cost per transaction (£),October 2016 to September 2017: volume,October 2016 to September 2017: digital volume,October 2016 to September 2017: cost per transaction (£),Service Type,URL,Description of service,Notes on costs,Other notes,Customer type,Business model
Department for Work and Pensions,DWP,Department for Work and Pensions,DWP,Employment and Support Allowance (ESA): existing claims,2550000,0,140.00,2510000,0,140.00,2500000,0,176.00,2487483,0,176.00,2490738,0,177.00,2490333,0,177.00,2485578,0,177.00,2488463,0,167.00,2504788,,167.00,2520313,0,,2538263,,,2550413,,,2550775,,,2544815,,,2532338,0,,2519360,0,,2507540,0,,2495545,0,,2482260,0,,2465538,0,,2445258,,,"Requesting benefits, payments or loans",https://www.gov.uk/employment-support-allowance/eligibility,"Data for existing claimants of Employment and Support Allowance, the main benefit for people who are sick or disabled. ESA is replacing Incapacity Benefit, Income Support and Severe Disablement Allowance.",Unit costs have not been included due to the current overhaul on the gathering of information within DWP.,Maintaining claims involves many interactions with people across the duration of their claim. It includes contacts about changes of circumstances or compliance checks that could affect eligibility and the investigation of potential fraud and error. It also includes the making of payments and queries about non-receipt.<br>The rolling year number of transactions given is the annual average of the number of cases on the caseload. The most recent quarterly data provided is a snap shot of total volumes of cases on the caseload (data obtained from NOMIS).,Individuals,Taxpayers
Department for Work and Pensions,DWP,Department for Work and Pensions,DWP,Income Support: existing claims,1610000,0,116.00,1350000,0,116.00,1250000,0,163.00,1151975,0,163.00,1066673,0,163.00,998603,0,163.00,939208,0,163.00,893943,0,178.00,857868,,178.00,826990,0,,799343,,,772838,,,748268,,,725600,,,705830,0,,688533,0,,672190,0,,655155,0,,639038,0,,622613,0,,608030,,,"Requesting benefits, payments or loans",https://www.gov.uk/income-support/overview,"Data for existing claimants of Income Support, which is paid to people on a low income who are working less than 16 hours a week, haven’t signed on as unemployed or are a lone parent or carer.",Unit costs have not been included due to the current overhaul on the gathering of information within DWP.,Maintaining claims involves many interactions with people across the duration of their claim. It includes contacts about changes of circumstances or compliance checks that could affect eligibility and the investigation of potential fraud and error. It also includes the making of payments and queries about non-receipt.<br>The rolling year number of transactions given is the annual average of the number of cases on the caseload. The most recent quarterly data provided is a snap shot of total volumes of cases on the caseload (data obtained from NOMIS).,Individuals,Taxpayers
Department for Work and Pensions,DWP,Department for Work and Pensions,DWP,Income Support: new claims,389000,0,,370000,,,360000,,,340000,0,,340000,0,,330000,0,,330000,0,140.00,324900,0,,318800,,137.00,315754,0,,,,,,,,299829,,,292411,,,281421,0,,274804,0,,265428,0,,259627,0,,253522,0,,245328,0,,238959,,,"Requesting benefits, payments or loans",https://www.gov.uk/income-support/overview,"Data for applications for Income Support, which is paid to people on a low income who are working less than 16 hours a week, haven’t signed on as unemployed or are a lone parent or carer.",Unit costs have not been included due to the current overhaul on the gathering of information within DWP.,"New claims involve several interactions with applicants, including assembling evidence to validate identity and eligibility, issuing NI numbers, and dealing with any appeals against decisions made.<br>The number of transactions given is the annual number of applications processed, whether successful or not.",Individuals,Taxpayers
Department for Work and Pensions,DWP,Department for Work and Pensions,DWP,Jobseeker's Allowance: job search reviews,38950000,0,7.00,38830000,0,7.00,38330000,0,7.00,37640000,0,7.00,36450000,0,7.00,34600000,0,7.00,32380000,0,7.00,,0,,,,,,0,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,Requesting information,https://www.gov.uk/moving-from-benefits-to-work,"Data for Jobsearch reviews, provided every 2 weeks for claimants of Jobseeker's Allowance and National Insurance contribution credits.",Unit costs have not been included due to the current overhaul on the gathering of information within DWP.,The number of transactions given is the annual number of jobsearch reviews undertaken.<br>Not all reviews are for people claiming JSA. Jobsearch reviews are also provided for people attending in support of their claim for NI credits of contributions only.,Individuals,Taxpayers
Department for Work and Pensions,DWP,Department for Work and Pensions,DWP,Jobseeker's Allowance: existing claims,1500000,0,325.00,1490000,0,325.00,1470000,0,321.00,1443998,0,321.00,1394630,0,322.00,1320325,0,322.00,1228140,0,322.00,1128650,0,363.00,1027758,,363.00,935010,0,,845008,,,772398,,,716310,,,671130,,,625185,0,,588455,0,,554115,0,,523988,0,,494748,0,,475070,0,,458010,,,"Requesting benefits, payments or loans",https://www.gov.uk/jobseekers-allowance,"Data for existing claimants of Jobseeker's Allowance, the main benefit for people who are out of work and seeking employment.",Unit costs have not been included due to the current overhaul on the gathering of information within DWP.,Maintaining claims involves many interactions with people across the duration of their claim. It includes contacts about changes of circumstances or compliance checks that could affect eligibility and the investigation of potential fraud and error. It also includes the making of payments and queries about non-receipt.<br>The rolling year number of transactions given is the annual average of the number of cases on the caseload. The most recent quarterly data provided is a snap shot of total volumes of cases on the caseload (data obtained from NOMIS).,Individuals,Taxpayers
Department for Work and Pensions,DWP,Department for Work and Pensions,DWP,Jobseeker's Allowance: new claims,3320000,530000,73.00,3260000,1011481,73.00,3210000,1245480,70.00,3170000,1525928,70.00,3080000,1862186,71.00,2940000,2092029,71.00,2830000,2256636,71.00,,2289445,,,2193040,68.00,,2087886,,,1980407,,2127769,1856581,,1958003,1699934,,1809806,1608784,,1624635,1389639,,1497890,1270231,,1348276,1133225,,1224960,1014681,,1139363,935248,,1072866,882868,,1007037,827168,,"Requesting benefits, payments or loans",https://www.dwpe-services.direct.gov.uk/en/jobseekersallowanceclaim,"Data for new applications for JSA (whether successful or not), the main benefit for people who are out of work and seeking employment.",Unit costs have not been included due to the current overhaul on the gathering of information within DWP.,"The number of transactions given is the annual number of applications processed, whether successful or not.<br>It covers new applications for JSA from initial enquiry through to the claim commencing payment.",Individuals,Taxpayers
Department for Work and Pensions,DWP,Health and Safety Executive,HSE,Notification of the non-issue of a Landlord Gas Safety Record,1041,,,1667,,,,,,1311,,,,,,,,,845,,,1253,,,1612,,,1597,,,1627,,,1632,,,1619,,,1632,,,1590,,,1500,,,1550,1550,,1538,1538,,1490,1490,,1452,1452,,1375,1375,,Providing information,https://extranet.hse.gov.uk/lfserver/external/lgsr1,Data for notifications from tenants or local authorities where landlords have failed to provide tenants with a copy of a gas safety record.,,,Business,Taxpayers
Department for Work and Pensions,DWP,Health and Safety Executive,HSE,Notification of construction project,,,,73208,,,,,,76909,,,79175,,,78465,,,79336,,,88558,,,97960,,,104036,,,110382,101401,,102066,94838,1.52,92539,87627,,84901,,,79994,77538,,77435,75094,,75139,73188,,72736,71091,,72935,71603,,71959,71039,,71011,70346,,Providing information,,Data for notifications of constructions projects received using form F10.,,,Business,Taxpayers
Department for Work and Pensions,DWP,Health and Safety Executive,HSE,Notification of intention to carry out site radiography,,,,3797,,,,,,5018,,,5666,,,5179,,,4015,,,3804,,,3536,,,3694,,,4208,,,3933,,,3637,,,3984,,,3810,,,3815,,,3752,,,3673,,,3398,,,3398,,,3427,,,Providing information,https://www.hse.gov.uk/forms/notification/index.htm,Data for notifications of site radiography received using form IRR3.,,,Business,Taxpayers
Department for Work and Pensions,DWP,Health and Safety Executive,HSE,Notification of ionising radiation activities,,,,1990,,,,,,1735,,,1611,,,1555,,,1791,,,1780,,,1728,,,1616,,,1772,,,1792,,,1909,,,2073,,,1896,,,1872,,,1918,,,1823,,,1862,,,1862,,,1861,,,Providing information,https://www.hse.gov.uk/forms/notification/index.htm,Data for notifications of radiation activities received using form IRR6.,,,Business,Taxpayers
Department for Work and Pensions,DWP,Health and Safety Executive,HSE,Notification of use and consignment of biological agents,44,,,52,,,,,,59,,,55,,,52,,,47,,,40,,,57,,,56,,,60,,,62,,,62,,,61,,,66,,,71,,,63,,,62,,,59,,,59,,,54,,,Providing information,https://www.hse.gov.uk/forms/notification/index.htm,"Datafor notifications of use and consignment of biological agents, received using form CBA1.",,,Business,Taxpayers
Department for Work and Pensions,DWP,Health and Safety Executive,HSE,Notifications relating to intention to use premises for genetic modification,181,,,204,,,,,,185,,,175,,,,,,168,,,164,,,162,,,172,,,178,,,168,,,178,,,171,,,172,,,182,,,176,,,179,,,169,,,165,,,162,,,Providing information,https://www.hse.gov.uk/forms/genetic/index.htm,Data for notifications about using premises for genetic modification received using forms CU1 and CU2.,,,Business,Taxpayers
Department for Work and Pensions,DWP,Department for Work and Pensions,DWP,State Pension: existing overseas claims,1210000,0,11.00,1220000,0,11.00,1230000,0,10.00,1230000,0,10.00,1230000,0,10.00,1240000,0,10.00,1237500,0,10.00,,0,,,,,,0,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,"Requesting benefits, payments or loans",https://www.gov.uk/state-pension-if-you-retire-abroad,Data for claims for State Pension from people living abroad.,Unit costs have not been included due to the current overhaul on the gathering of information within DWP.,The number of transactions per quarter is no longer available.,Individuals,Taxpayers
Department for Work and Pensions,DWP,Department for Work and Pensions,DWP,Pension Credit: existing claims,2650000,0,48.00,2550000,0,48.00,2510000,0,56.00,2474405,0,56.00,2442220,0,55.00,2409913,0,55.00,2378855,0,55.00,2342968,0,60.00,2306025,,60.00,2268115,0,,2227708,,,2184333,,,2140663,,,2096693,,,2054868,0,,2017803,0,,1980423,0,,1942430,0,,1902940,0,,1871363,0,,1840278,,,"Requesting benefits, payments or loans",https://www.gov.uk/pension-credit,"Data for existing claimants of Pension Credit, an income-related benefit paid to people of State Pension age.",Unit costs have not been included due to the current overhaul on the gathering of information within DWP.,Maintaining claims involves many interactions with people across the duration of their claim. It includes contacts about changes of circumstances or compliance checks that could affect eligibility and the investigation of potential fraud and error. It also includes the making of payments and queries about non-receipt.<br>The rolling year number of transactions given is the annual average of the number of cases on the caseload. The most recent quarterly data provided is a snap shot of total volumes of cases on the caseload (data obtained from NOMIS).,Individuals,Taxpayers
Department for Work and Pensions,DWP,Department for Work and Pensions,DWP,Pension Credit: new claims,195000,0,,170000,,,160000,,,160000,0,,162000,0,,162000,0,,162000,0,266.00,156000,0,,,,237.00,140549,0,,135562,,,131821,,,127914,,,123304,,,118003,0,,108460,0,,105679,0,,104643,0,,101176,0,,103358,0,,98417,,,"Requesting benefits, payments or loans",https://www.gov.uk/pension-credit,"Data for applications for Pension Credit, an income-related benefit paid to people of State Pension age.",Unit costs have not been included due to the current overhaul on the gathering of information within DWP.,"New claims involve several interactions with the applicant, including assembling evidence to validate identity and eligibility, issuing NI numbers, and dealing with any appeals against the decisions made.<br>The number of transactions given is the annual number of applications processed, whether successful or not.",Individuals,Taxpayers
Department for Work and Pensions,DWP,Department for Work and Pensions,DWP,Pension tracing service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124216,,,301500,,,475392,,862726,735173,,979077,836674,,1126882,975746,,Requesting information,https://www.gov.uk/find-lost-pension,Data for requests to help users to find details of lost pensions.,,The number of transactions per quarter is no longer available.,Individuals,Taxpayers
Department for Work and Pensions,DWP,Department for Work and Pensions,DWP,Personal Independence Payments: existing claims,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,4307154,0,,1215368,0,,1359777,,,"Requesting benefits, payments or loans",https://www.gov.uk/pip,Personal Independence Payment (PIP) helps with some of the extra costs caused by long-term ill-health or a disability for people aged between 16 and 64.,,Maintaining claims involves many interactions with people across the duration of their claim. It includes contacts about changes of circumstances or compliance checks that could affect eligibility and the investigation of potential fraud and error. It also includes the making of payments and queries about non-receipt.<br>The rolling year number of transactions given is the annual average of the number of cases on the caseload. The most recent quarterly data provided is a snap shot of total volumes of cases on the caseload (data obtained from Stat-Xplore).,Individuals,Taxpayers
Department for Work and Pensions,DWP,Department for Work and Pensions,DWP,Personal Independence Payments: new claims,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,452763,0,,429053,0,,444119,,,"Requesting benefits, payments or loans",https://www.gov.uk/pip,Personal Independence Payment (PIP) helps with some of the extra costs caused by long-term ill-health or a disability for people aged between 16 and 64.,,"New claims involve several interactions with the applicant, including assembling evidence to validate identity and eligibility, issuing NI numbers, and dealing with any appeals against the decisions made.<br>The number of transactions given is the annual number of applications processed, whether successful or not.",Individuals,Taxpayers
Department for Work and Pensions,DWP,Health and Safety Executive,HSE,Pipeline Safety Regulations: notifications before construction,29,,,33,,,,,,3,,,3,,,,,,1,,,0,,,3,,,23,,,23,,,30,,,27,,,19,,,23,,,20,,,24,,,14,,,15,,,14,,,12,,,Providing information,,"Data for notifications before construction of a new major accident hazard pipeline, under the Pipelines Safety Regulations 1996 (PSR 20).",,,Business,Taxpayers
Department for Work and Pensions,DWP,Health and Safety Executive,HSE,Pipeline Safety Regulations: notifications before pipeline use,22,,,25,,,,,,7,,,4,,,,,,7,,,6,,,8,,,27,,,25,,,31,,,33,,,17,,,23,,,16,,,13,,,17,,,11,,,12,,,13,,,Providing information,,Data for notifications before use of the intention to bring a major accident hazard (MAH) pipeline into use.,,,Business,Taxpayers
Department for Work and Pensions,DWP,Health and Safety Executive,HSE,Pipeline Safety Regulations: notifications in other cases,21,,,54,,,,,,39,,,20,,,,,,12,,,13,,,32,,,53,,,53,,,55,,,37,,,19,,,21,,,35,,,40,,,54,,,61,,,66,,,65,,,Providing information,,"Data for notifications under the Pipelines Safety Regulations 1999, such as significant changes to a pipeline which can affect the level of risk, change of pipeline operator or major modifications to existing pipelines.",,,Business,Taxpayers
